[2018-10-25 00:01:39,788891] eccube.ERROR [NULL] [eec9401a] [NULL] [LogListener:logException:110] - Symfony\Component\HttpKernel\Exception\NotFoundHttpException: No route found for "GET /admin/plugin/plugin/snslogin/hello" (uncaught exception) at /home/ubuntu/workspace/vendor/symfony/http-kernel/EventListener/RouterListener.php line 159 {"exception":"[object] (Symfony\\Component\\HttpKernel\\Exception\\NotFoundHttpException(code: 0): No route found for \"GET /admin/plugin/plugin/snslogin/hello\" at /home/ubuntu/workspace/vendor/symfony/http-kernel/EventListener/RouterListener.php:159, Symfony\\Component\\Routing\\Exception\\ResourceNotFoundException(code: 0): No routes found for \"/admin/plugin/plugin/snslogin/hello\". at /home/ubuntu/workspace/vendor/symfony/routing/Matcher/UrlMatcher.php:98)"}  [GET, /html/admin/plugin/plugin/snslogin/hello, 10.240.0.64, NULL, Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-25 10:40:27,380725] eccube.INFO  [28ca951f] [3adb698c] [2] [LogListener:logResponse:96] - < 200   [GET, /html/admin/store/plugin, 10.240.1.50, http://ec-cute-kaku87.c9users.io/html/admin/store/plugin, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2018-10-25 10:40:31,540888] eccube.INFO  [NULL] [d59763a3] [NULL] [RouterListener:onKernelRequest:146] - Matched route "admin_store_plugin_owners_install". {"route_parameters":{"_controller":"\\Eccube\\Controller\\Admin\\Store\\PluginController::ownersInstall","_route":"admin_store_plugin_owners_install"},"request_uri":"http://ec-cute-kaku87.c9users.io/html/admin/store/plugin/owners_install"}  [GET, /html/admin/store/plugin/owners_install, 10.240.0.64, http://ec-cute-kaku87.c9users.io/html/admin/store/plugin, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2018-10-25 10:40:31,564180] eccube.INFO  [28ca951f] [d59763a3] [2] [LogListener:logRequest:83] - > GET /html/admin/store/plugin/owners_install   [GET, /html/admin/store/plugin/owners_install, 10.240.0.64, http://ec-cute-kaku87.c9users.io/html/admin/store/plugin, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2018-10-25 10:40:31,633206] eccube.INFO  [28ca951f] [d59763a3] [2] [LogListener:logResponse:96] - < 200   [GET, /html/admin/store/plugin/owners_install, 10.240.0.64, http://ec-cute-kaku87.c9users.io/html/admin/store/plugin, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2018-10-25 10:40:34,801942] eccube.INFO  [NULL] [ff1b9100] [NULL] [RouterListener:onKernelRequest:146] - Matched route "admin_store_plugin". {"route_parameters":{"_controller":"\\Eccube\\Controller\\Admin\\Store\\PluginController::index","_route":"admin_store_plugin"},"request_uri":"http://ec-cute-kaku87.c9users.io/html/admin/store/plugin"}  [GET, /html/admin/store/plugin, 10.240.1.65, http://ec-cute-kaku87.c9users.io/html/admin/store/plugin/owners_install, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2018-10-25 10:40:34,829327] eccube.INFO  [28ca951f] [ff1b9100] [2] [LogListener:logRequest:83] - > GET /html/admin/store/plugin   [GET, /html/admin/store/plugin, 10.240.1.65, http://ec-cute-kaku87.c9users.io/html/admin/store/plugin/owners_install, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2018-10-25 10:40:34,950316] eccube.INFO  [28ca951f] [ff1b9100] [2] [LogListener:logResponse:96] - < 200   [GET, /html/admin/store/plugin, 10.240.1.65, http://ec-cute-kaku87.c9users.io/html/admin/store/plugin/owners_install, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2018-10-25 10:40:37,710081] eccube.INFO  [NULL] [083a34ab] [NULL] [RouterListener:onKernelRequest:146] - Matched route "plugin_SnsLogin_config". {"route_parameters":{"_controller":"Plugin\\SnsLogin\\Controller\\ConfigController::index","_route":"plugin_SnsLogin_config"},"request_uri":"http://ec-cute-kaku87.c9users.io/html/admin/plugin/SnsLogin/config"}  [GET, /html/admin/plugin/SnsLogin/config, 10.240.1.50, http://ec-cute-kaku87.c9users.io/html/admin/store/plugin, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2018-10-25 10:40:37,744083] eccube.INFO  [28ca951f] [083a34ab] [2] [LogListener:logRequest:83] - > GET /html/admin/plugin/SnsLogin/config   [GET, /html/admin/plugin/SnsLogin/config, 10.240.1.50, http://ec-cute-kaku87.c9users.io/html/admin/store/plugin, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2018-10-25 10:40:37,836175] eccube.INFO  [28ca951f] [083a34ab] [2] [LogListener:logResponse:96] - < 200   [GET, /html/admin/plugin/SnsLogin/config, 10.240.1.50, http://ec-cute-kaku87.c9users.io/html/admin/store/plugin, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
