[2018-10-24 14:43:00,507769] admin.INFO  [NULL] [35b5c5eb] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /html/admin/customer/new, 10.240.1.65, http://ec-cute-kaku87.c9users.io/html/admin/customer, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.67 Safari/537.36]
[2018-10-24 14:43:00,534811] admin.INFO  [5caf351b] [35b5c5eb] [2] [LogListener:onKernelRequest:60] - PROCESS START ["admin_customer_new"]  [GET, /html/admin/customer/new, 10.240.1.65, http://ec-cute-kaku87.c9users.io/html/admin/customer, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.67 Safari/537.36]
[2018-10-24 14:43:00,573236] admin.INFO  [5caf351b] [35b5c5eb] [2] [LogListener:onKernelController:73] - LOGIC START ["admin_customer_new"]  [GET, /html/admin/customer/new, 10.240.1.65, http://ec-cute-kaku87.c9users.io/html/admin/customer, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.67 Safari/537.36]
[2018-10-24 14:43:00,883392] admin.INFO  [5caf351b] [35b5c5eb] [2] [LogListener:onKernelResponse:86] - LOGIC END ["admin_customer_new"]  [GET, /html/admin/customer/new, 10.240.1.65, http://ec-cute-kaku87.c9users.io/html/admin/customer, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.67 Safari/537.36]
[2018-10-24 14:43:00,886663] admin.INFO  [5caf351b] [35b5c5eb] [2] [LogListener:onKernelTerminate:95] - PROCESS END ["admin_customer_new"]  [GET, /html/admin/customer/new, 10.240.1.65, http://ec-cute-kaku87.c9users.io/html/admin/customer, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.67 Safari/537.36]
[2018-10-24 14:43:30,846695] admin.INFO  [NULL] [06b5ee29] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /html/admin/customer, 10.240.0.64, http://ec-cute-kaku87.c9users.io/html/admin/customer/new, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.67 Safari/537.36]
[2018-10-24 14:43:30,873197] admin.INFO  [5caf351b] [06b5ee29] [2] [LogListener:onKernelRequest:60] - PROCESS START ["admin_customer"]  [GET, /html/admin/customer, 10.240.0.64, http://ec-cute-kaku87.c9users.io/html/admin/customer/new, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.67 Safari/537.36]
[2018-10-24 14:43:30,907658] admin.INFO  [5caf351b] [06b5ee29] [2] [LogListener:onKernelController:73] - LOGIC START ["admin_customer"]  [GET, /html/admin/customer, 10.240.0.64, http://ec-cute-kaku87.c9users.io/html/admin/customer/new, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.67 Safari/537.36]
[2018-10-24 14:43:31,013921] admin.INFO  [5caf351b] [06b5ee29] [2] [LogListener:onKernelResponse:86] - LOGIC END ["admin_customer"]  [GET, /html/admin/customer, 10.240.0.64, http://ec-cute-kaku87.c9users.io/html/admin/customer/new, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.67 Safari/537.36]
[2018-10-24 14:43:31,016607] admin.INFO  [5caf351b] [06b5ee29] [2] [LogListener:onKernelTerminate:95] - PROCESS END ["admin_customer"]  [GET, /html/admin/customer, 10.240.0.64, http://ec-cute-kaku87.c9users.io/html/admin/customer/new, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.67 Safari/537.36]
[2018-10-24 14:43:33,180211] admin.INFO  [NULL] [8d98389d] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /html/admin/order, 10.240.1.50, http://ec-cute-kaku87.c9users.io/html/admin/customer, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.67 Safari/537.36]
[2018-10-24 14:43:33,207036] admin.INFO  [5caf351b] [8d98389d] [2] [LogListener:onKernelRequest:60] - PROCESS START ["admin_order"]  [GET, /html/admin/order, 10.240.1.50, http://ec-cute-kaku87.c9users.io/html/admin/customer, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.67 Safari/537.36]
[2018-10-24 14:43:33,244598] admin.INFO  [5caf351b] [8d98389d] [2] [LogListener:onKernelController:73] - LOGIC START ["admin_order"]  [GET, /html/admin/order, 10.240.1.50, http://ec-cute-kaku87.c9users.io/html/admin/customer, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.67 Safari/537.36]
[2018-10-24 14:43:33,444569] admin.INFO  [5caf351b] [8d98389d] [2] [LogListener:onKernelResponse:86] - LOGIC END ["admin_order"]  [GET, /html/admin/order, 10.240.1.50, http://ec-cute-kaku87.c9users.io/html/admin/customer, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.67 Safari/537.36]
